City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Temp_C,Wind KmH
186,santa terezinha,-29.9002,-50.0904,292.87,86,92,5.06,BR,1684988261,19.720000000000027,18.215999999999998
187,suntar,62.1444,117.6319,288.09,20,11,3.35,RU,1684988601,14.939999999999998,12.06
188,remire-montjoly,4.9167,-52.2667,297.17,100,0,0.51,GF,1684988158,24.02000000000004,1.836
189,osternienburger land,51.8015,12.0257,280.88,76,0,1.59,DE,1684988602,7.730000000000018,5.724
190,nemuro,43.3236,145.575,285.03,73,1,6.68,JP,1684988243,11.879999999999995,24.048
191,kogota,38.55,141.05,292.09,42,95,4.22,JP,1684988603,18.939999999999998,15.192
192,puerto baquerizo moreno,-0.9,-89.6,298.07,79,0,3.13,EC,1684988312,24.920000000000016,11.268
193,warrnambool,-38.3833,142.4833,286.22,73,88,10.73,AU,1684988603,13.07000000000005,38.628
194,coquimbo,-29.9533,-71.3436,286.0,94,0,1.03,CL,1684988251,12.850000000000023,3.708
195,beitbridge,-22.2167,30.0,290.12,77,0,2.24,ZW,1684988355,16.970000000000027,8.064000000000002
196,ust'-barguzin,53.45,108.9833,279.02,58,39,5.52,RU,1684988604,5.8700000000000045,19.872
197,antalaha,-14.9003,50.2788,295.44,91,75,1.72,MG,1684988604,22.29000000000002,6.192
198,manta,-0.95,-80.7333,299.03,83,75,3.6,EC,1684988273,25.879999999999995,12.96
199,shingu,33.7333,135.9833,293.01,78,76,3.56,JP,1684988605,19.860000000000014,12.816
200,tolanaro,-25.0319,46.9987,292.93,67,97,2.06,MG,1684988155,19.78000000000003,7.416
201,xilin hot,43.9667,116.0333,289.07,46,96,9.9,CN,1684988606,15.920000000000016,35.64
202,labytnangi,66.6572,66.4183,289.07,52,3,5.13,RU,1684988606,15.920000000000016,18.468
203,langsa,4.4683,97.9683,301.52,83,99,1.07,ID,1684988606,28.370000000000005,3.8520000000000003
204,iqaluit,63.7506,-68.5145,272.0,86,100,2.24,CA,1684988191,-1.1499999999999773,8.064000000000002
205,touros,-5.1989,-35.4608,297.05,90,70,3.45,BR,1684988341,23.900000000000034,12.420000000000002
206,melfi,40.9965,15.6514,283.42,78,71,1.3,IT,1684988607,10.270000000000039,4.680000000000001
207,barclayville,4.6797,-8.2339,298.24,93,99,2.15,LR,1684988607,25.090000000000032,7.74
208,atasu,48.6814,71.6433,293.95,33,19,3.83,KZ,1684988607,20.80000000000001,13.788
209,richards bay,-28.783,32.0377,290.97,86,5,5.37,ZA,1684988237,17.82000000000005,19.332
210,ebon,4.582,168.6964,301.08,73,100,3.94,MH,1684988608,27.930000000000007,14.184
211,holualoa,19.6228,-155.9522,298.06,80,100,6.69,US,1684988608,24.910000000000025,24.084000000000003
212,vadso,70.0744,29.7487,284.64,66,20,6.69,NO,1684988296,11.490000000000009,24.084000000000003
213,puerto ayacucho,5.6639,-67.6236,297.08,92,99,1.84,VE,1684988609,23.930000000000007,6.6240000000000006
214,lihue,21.9789,-159.3672,299.73,75,40,7.2,US,1684988272,26.58000000000004,25.92
215,rio grande,-32.035,-52.0986,291.97,89,100,4.65,BR,1684988034,18.82000000000005,16.740000000000002
216,khandyga,62.6667,135.6,285.33,38,85,2.61,RU,1684988609,12.180000000000007,9.395999999999999
217,okhotsk,59.3833,143.3,277.89,75,97,3.92,RU,1684988302,4.740000000000009,14.112
218,shiguai,40.7058,110.2856,291.06,25,25,6.56,CN,1684988610,17.910000000000025,23.616
219,kiamba,5.9894,124.6242,302.78,75,68,4.01,PH,1684988610,29.629999999999995,14.436
220,carinhanha,-14.3047,-43.765,296.02,60,89,2.55,BR,1684988611,22.870000000000005,9.18
221,noosa heads,-26.3833,153.15,297.23,64,0,2.58,AU,1684988611,24.08000000000004,9.288
222,akureyri,65.6835,-18.0878,278.11,60,75,4.63,IS,1684988210,4.960000000000036,16.668
223,rockford,42.2711,-89.094,286.41,44,75,2.57,US,1684988405,13.260000000000048,9.251999999999999
224,kruisfontein,-34.0033,24.7314,285.85,51,59,0.79,ZA,1684988612,12.700000000000045,2.8440000000000003
225,acarau,-2.8856,-40.12,297.98,86,98,4.73,BR,1684988612,24.83000000000004,17.028000000000002
226,hassi messaoud,31.6804,6.0729,292.07,42,49,0.51,DZ,1684988612,18.920000000000016,1.836
227,bluffdale,40.4897,-111.9388,291.75,63,0,6.26,US,1684988613,18.600000000000023,22.536
